row_id,source_dataset,source_category,label,label_name,title_clean,description_clean,text
bbc_news:001997,bbc_news,sport,1,Sports,clijsters set for february return tennis star kim clijsters will make her return from a career-threatening,injury at the antwerp wta event in february. kim had considered returning to action in paris on 7 february a statement on her website said. she s decided against this so that she does not risk the final phase of her recovery. if all goes well kim will make her return on february 15. the 21-year-old has not played since last october after aggravating a wrist injury at the belgian open. back then a doctor treating the belgian feared that her career may be over with the player having already endured an operation earlier in the season to cure her wrist problem. i hope she comes back but i m pessimistic said bruno willems. clijsters was also due to marry fellow tennis star lleyton hewitt in february but the pair split for private reasons back in october.,clijsters set for february return tennis star kim clijsters will make her return from a career-threatening injury at the antwerp wta event in february. kim had considered returning to action in paris on 7 february a statement on her website said. she s decided against this so that she does not risk the final phase of her recovery. if all goes well kim will make her return on february 15. the 21-year-old has not played since last october after aggravating a wrist injury at the belgian open. back then a doctor treating the belgian feared that her career may be over with the player having already endured an operation earlier in the season to cure her wrist problem. i hope she comes back but i m pessimistic said bruno willems. clijsters was also due to marry fellow tennis star lleyton hewitt in february but the pair split for private reasons back in october.
bbc_news:000367,bbc_news,sport,1,Sports,safin slumps to shock dubai loss marat safin suffered a shock loss to unseeded nicolas kiefer,in round one of the dubai tennis championships. playing his first match since winning the australian open safin showed some good touches but was beaten 7-6 (7-2) 6-4 by the in-form kiefer. the german got on top in the first-set tie-break striking a sweet forehand to win the first point against serve. and he maintained the momentum early in the second set breaking the russian with the help of an inspired volley. spain s feliciano lopez lined up a second round clash with andre agassi by beating thailand s paradorn srichaphan. lopez who lost in three sets to roger federer in last year s final won 6-2 3-6 6-3. former champion fabrice santoro of france was beaten 6-3 6-0 by sixth seeded russian nikolay davydenko. there were also wins for two other russians igor andreev and seventh seed mikhail youzhny.,safin slumps to shock dubai loss marat safin suffered a shock loss to unseeded nicolas kiefer in round one of the dubai tennis championships. playing his first match since winning the australian open safin showed some good touches but was beaten 7-6 (7-2) 6-4 by the in-form kiefer. the german got on top in the first-set tie-break striking a sweet forehand to win the first point against serve. and he maintained the momentum early in the second set breaking the russian with the help of an inspired volley. spain s feliciano lopez lined up a second round clash with andre agassi by beating thailand s paradorn srichaphan. lopez who lost in three sets to roger federer in last year s final won 6-2 3-6 6-3. former champion fabrice santoro of france was beaten 6-3 6-0 by sixth seeded russian nikolay davydenko. there were also wins for two other russians igor andreev and seventh seed mikhail youzhny.
bbc_news:001948,bbc_news,sport,1,Sports,uk athletics agrees new kit deal uk athletics has agreed a new deal with adidas to,supply great britain squads of all ages with their kit for the next four years. the german-based firm kitted out team gb at the 2004 olympics and has deals with 20 other national olympic bodies. uk athletics chief david moorcroft said: the athens experience can now be extended to more major championships. in the year ahead these include the european indoor and world outdoor championships. we are delighted. moorcroft added: it is hugely beneficial to the sport that the adidas commitment will also provide for officials and other personnel at our world-class series of live televised events. this week uk athletics also agreed a four-year deal with energy drink company red bull who will be supplying the product to athletics at major domestic meetings and in high performance centres.,uk athletics agrees new kit deal uk athletics has agreed a new deal with adidas to supply great britain squads of all ages with their kit for the next four years. the german-based firm kitted out team gb at the 2004 olympics and has deals with 20 other national olympic bodies. uk athletics chief david moorcroft said: the athens experience can now be extended to more major championships. in the year ahead these include the european indoor and world outdoor championships. we are delighted. moorcroft added: it is hugely beneficial to the sport that the adidas commitment will also provide for officials and other personnel at our world-class series of live televised events. this week uk athletics also agreed a four-year deal with energy drink company red bull who will be supplying the product to athletics at major domestic meetings and in high performance centres.
bbc_news:002140,bbc_news,sport,1,Sports,celts savour grand slam prospect the six nations has heralded a new order in northern hemisphere,rugby this year and wales and ireland rather than traditional big guns france and england face a potential grand slam play-off in three weeks time. but before that game in cardiff wales must get past scotland at murrayfield while ireland face the not insignificant task of a home fixture with the mercurial french. no-one knows what mood france will be in at lansdowne road on 12 march - sublime as in the first half against wales or ridiculous like in the same period against england at twickenham. but how the mighty have fallen. england sat on rugby s summit 15 months ago as world champions and 2003 grand slam winners. but they have lost nine of their 14 matches since that heady night in sydney. and they face the ignominy of what could amount to a wooden spoon play-off against italy in a fortnight. england are enduring their worst run in the championship since captain richard hill was dumped in favour of mike harrison after three straight losses in 1987. coach andy robinson who took over from the successful sir clive woodward in september has lost a phalanx of world cup stars. and he is enduring the toughest of teething problems in bedding down his own style with a new team. the same year that england ruled the roost a woeful wales lost all five matches in the six nations. and they won only two games against scotland and italy in 2004. wales most recent championship title was in 1994 and their last grand slam success came in 1978 in the era of gareth edwards phil bennett jpr williams et al. but welsh rugby fans remain on permanent tenterhooks for the blossoming of a new golden age. after several false dawns coach mike ruddock may have come up with the team and philosophy to match expectations. the fresh verve is inspired by skipper gareth thomas now out with a broken thumb accurate kicking from either fly-half stephen jones or centre gavin henson a rampant martyn williams leading the way up front and exciting runners in the guise of henson and shane williams. ireland coach eddie o sullivan and captain brian o driscoll have got their side buzzing too and they are close to shedding the nearly-men tag that has dogged them for the past few years. the men from the emerald isle have been six nations runners-up for the past two years to france and england. but they have not won the title since 1985 and last clinched a grand slam in 1948. as for scotland they have struggled this decade and the 2004 wooden spoon winners have not been in the top two since they lifted the title in 1999. italy continue the elusive search for their first six nations away win and can still only account for the scalps of scotland (twice) and wales since joining the elite in 2000. coach john kirwan is a passionate and dedicated believer in the azzurri but is lacking in raw materials. and so to france. brilliant one minute inept the next. but the reigning champions could quite easily turn on the style in dublin and end up winning the title through the back door. ireland though have won three times in their last five meetings. welsh romantics would probably prefer a glorious victory in the celtic showdown to crown their grand slam. but given that ireland have beaten wales in four of their last five meetings the welsh legions are likely to be behind les bleus on 12 march.,celts savour grand slam prospect the six nations has heralded a new order in northern hemisphere rugby this year and wales and ireland rather than traditional big guns france and england face a potential grand slam play-off in three weeks time. but before that game in cardiff wales must get past scotland at murrayfield while ireland face the not insignificant task of a home fixture with the mercurial french. no-one knows what mood france will be in at lansdowne road on 12 march - sublime as in the first half against wales or ridiculous like in the same period against england at twickenham. but how the mighty have fallen. england sat on rugby s summit 15 months ago as world champions and 2003 grand slam winners. but they have lost nine of their 14 matches since that heady night in sydney. and they face the ignominy of what could amount to a wooden spoon play-off against italy in a fortnight. england are enduring their worst run in the championship since captain richard hill was dumped in favour of mike harrison after three straight losses in 1987. coach andy robinson who took over from the successful sir clive woodward in september has lost a phalanx of world cup stars. and he is enduring the toughest of teething problems in bedding down his own style with a new team. the same year that england ruled the roost a woeful wales lost all five matches in the six nations. and they won only two games against scotland and italy in 2004. wales most recent championship title was in 1994 and their last grand slam success came in 1978 in the era of gareth edwards phil bennett jpr williams et al. but welsh rugby fans remain on permanent tenterhooks for the blossoming of a new golden age. after several false dawns coach mike ruddock may have come up with the team and philosophy to match expectations. the fresh verve is inspired by skipper gareth thomas now out with a broken thumb accurate kicking from either fly-half stephen jones or centre gavin henson a rampant martyn williams leading the way up front and exciting runners in the guise of henson and shane williams. ireland coach eddie o sullivan and captain brian o driscoll have got their side buzzing too and they are close to shedding the nearly-men tag that has dogged them for the past few years. the men from the emerald isle have been six nations runners-up for the past two years to france and england. but they have not won the title since 1985 and last clinched a grand slam in 1948. as for scotland they have struggled this decade and the 2004 wooden spoon winners have not been in the top two since they lifted the title in 1999. italy continue the elusive search for their first six nations away win and can still only account for the scalps of scotland (twice) and wales since joining the elite in 2000. coach john kirwan is a passionate and dedicated believer in the azzurri but is lacking in raw materials. and so to france. brilliant one minute inept the next. but the reigning champions could quite easily turn on the style in dublin and end up winning the title through the back door. ireland though have won three times in their last five meetings. welsh romantics would probably prefer a glorious victory in the celtic showdown to crown their grand slam. but given that ireland have beaten wales in four of their last five meetings the welsh legions are likely to be behind les bleus on 12 march.
bbc_news:001931,bbc_news,sport,1,Sports,venus stunned by farina elia venus williams suffered a first-round defeat for the first time in,four years at the dubai championships. sylvia farina elia who had lost all nine of her previous meetings with the american fifth seed won 7-5 7-6 (8-6). former wimbledon champion conchita martinez and india s sania mirza the oldest and youngest players in the draw also reached the second round. martinez 32 beat shinobu asagoe 6-4 6-4 and 18-year-old mirza beat jelena kostanic 6-7 (7-2) 6-4 6-1. mirza the first indian woman to win a wta tour title this month on home ground at hyderabad will now face us open champion svetlana kuznetsova. but she is remaining confident. she (kuznetsova) is a great player she said. but everyone is beatable and i am looking forward to a great match. williams though blamed her defeat by farina elia on injuries. blisters were a factor but mostly my stomach wasn t that great she said. i did it in the last tournament in the semi-finals and i was serving at 40% in the final. the first time i served again was sunday and there wasn t a lot i could do out there. when your serve isn t good it throws the rest of your game off too. she will wait to see how she recovers before deciding whether to take part in the nasdaq-100 open in miami starting on 21 march.,venus stunned by farina elia venus williams suffered a first-round defeat for the first time in four years at the dubai championships. sylvia farina elia who had lost all nine of her previous meetings with the american fifth seed won 7-5 7-6 (8-6). former wimbledon champion conchita martinez and india s sania mirza the oldest and youngest players in the draw also reached the second round. martinez 32 beat shinobu asagoe 6-4 6-4 and 18-year-old mirza beat jelena kostanic 6-7 (7-2) 6-4 6-1. mirza the first indian woman to win a wta tour title this month on home ground at hyderabad will now face us open champion svetlana kuznetsova. but she is remaining confident. she (kuznetsova) is a great player she said. but everyone is beatable and i am looking forward to a great match. williams though blamed her defeat by farina elia on injuries. blisters were a factor but mostly my stomach wasn t that great she said. i did it in the last tournament in the semi-finals and i was serving at 40% in the final. the first time i served again was sunday and there wasn t a lot i could do out there. when your serve isn t good it throws the rest of your game off too. she will wait to see how she recovers before deciding whether to take part in the nasdaq-100 open in miami starting on 21 march.
bbc_news:001402,bbc_news,sport,1,Sports,davenport dismantles young rival top seed lindsay davenport booked her place in the last 16 of,the australian open with a convincing 6-2 6-4 win over nicole vaidisova of the czech republic. the american had too much power for her 15-year-old opponent breaking twice in the first set and once in the second. the german-born vaidisova rallied well at times but was unable to find a way back after falling behind 3-2 in the opening set. davenport who closed out with an ace plays karolina sprem in the next round. i was fully expecting a tough opponent and was able to play well enough to get through it said davenport. i think she hits some great shots. she made some errors but probably some inexperience played a role in that. but she s so young and obviously has a big game and has many many years to improve on that. sprem the croatian 13th seed saw off russia s elena likhovtseva 6-3 6-2. former world number one powered her way into the fourth round with a straight sets win over anna smashnova. the 27th seed from israel stuck with williams until 3-3 in the first set before it became one-way traffic. the american made 26 unforced errors but was still good enough to romp through the contest in exactly an hour. she reeled off nine straight games to finish a 6-3 6-0 winner. remains on course to become the first australian to win her home title since chris o neil in 1978. the 10th seed equalled her best performance at a grand slam event when she beat unseeded russian nadia petrova 6-3 6-2 to reach the fourth round. after a tough first set molik grew in confidence and won in just 56 minutes. she will now meet venus williams. bring it on said the 23-year-old. i played pretty well and it was nice to get through in straight sets. we were destined to meet i guess williams said referring to her match with molik. it will be a huge match for her in australia. i can tell she s probably very motivated by that so i need to get out there and play well. beat slovakia s daniela hantuchova in a rollercoaster match. dementieva came through 7-5 5-7 6-4 becoming the seventh russian woman to reach the last 16 in melbourne. the match lasted almost three hours and featured 13 service breaks including three in the final set when dementieva held her nerve to seal the win. she now faces after the swiss 12th seed beat american abigail spears 7-6 6-3. french open champion received a free ride into the last 16 after lisa raymond was forced to withdraw. raymond the 25th seeded american was ruled out after sustaining a left abdominal muscle tear in the doubles. myskina the third seed now plays france s who beat francesca schiavone of italy 6-3 6-3. i m extremely disappointed because i couldn t have asked to play better in my first two matches raymond said.,davenport dismantles young rival top seed lindsay davenport booked her place in the last 16 of the australian open with a convincing 6-2 6-4 win over nicole vaidisova of the czech republic. the american had too much power for her 15-year-old opponent breaking twice in the first set and once in the second. the german-born vaidisova rallied well at times but was unable to find a way back after falling behind 3-2 in the opening set. davenport who closed out with an ace plays karolina sprem in the next round. i was fully expecting a tough opponent and was able to play well enough to get through it said davenport. i think she hits some great shots. she made some errors but probably some inexperience played a role in that. but she s so young and obviously has a big game and has many many years to improve on that. sprem the croatian 13th seed saw off russia s elena likhovtseva 6-3 6-2. former world number one powered her way into the fourth round with a straight sets win over anna smashnova. the 27th seed from israel stuck with williams until 3-3 in the first set before it became one-way traffic. the american made 26 unforced errors but was still good enough to romp through the contest in exactly an hour. she reeled off nine straight games to finish a 6-3 6-0 winner. remains on course to become the first australian to win her home title since chris o neil in 1978. the 10th seed equalled her best performance at a grand slam event when she beat unseeded russian nadia petrova 6-3 6-2 to reach the fourth round. after a tough first set molik grew in confidence and won in just 56 minutes. she will now meet venus williams. bring it on said the 23-year-old. i played pretty well and it was nice to get through in straight sets. we were destined to meet i guess williams said referring to her match with molik. it will be a huge match for her in australia. i can tell she s probably very motivated by that so i need to get out there and play well. beat slovakia s daniela hantuchova in a rollercoaster match. dementieva came through 7-5 5-7 6-4 becoming the seventh russian woman to reach the last 16 in melbourne. the match lasted almost three hours and featured 13 service breaks including three in the final set when dementieva held her nerve to seal the win. she now faces after the swiss 12th seed beat american abigail spears 7-6 6-3. french open champion received a free ride into the last 16 after lisa raymond was forced to withdraw. raymond the 25th seeded american was ruled out after sustaining a left abdominal muscle tear in the doubles. myskina the third seed now plays france s who beat francesca schiavone of italy 6-3 6-3. i m extremely disappointed because i couldn t have asked to play better in my first two matches raymond said.
bbc_news:000114,bbc_news,sport,1,Sports,beckham relief as real go through david beckham expressed his relief at real madrid s passage,to the champions league knockout phase. after real s 3-0 win at roma the england skipper admitted another season of under-achievement would not be tolerated at the bernabeu stadium. beckham said: it s expected of madrid to get through but it s a relief for the club and players to have won. we lost momentum last season but we cannot afford to to go another season without winning anything. real s finish as runners-up in their champions league group means they cannot face his old club manchester united in the next round. but real could be drawn against other premiership hopefuls arsenal or chelsea who won their respective groups. it s going to be great whoever we play even if we don t get either of the two english teams.,beckham relief as real go through david beckham expressed his relief at real madrid s passage to the champions league knockout phase. after real s 3-0 win at roma the england skipper admitted another season of under-achievement would not be tolerated at the bernabeu stadium. beckham said: it s expected of madrid to get through but it s a relief for the club and players to have won. we lost momentum last season but we cannot afford to to go another season without winning anything. real s finish as runners-up in their champions league group means they cannot face his old club manchester united in the next round. but real could be drawn against other premiership hopefuls arsenal or chelsea who won their respective groups. it s going to be great whoever we play even if we don t get either of the two english teams.
bbc_news:000975,bbc_news,sport,1,Sports,zambia confident and cautious zambia s technical director kalusha bwalya is confident and cautious ahead of,the cosafa cup final against angola on saturday in lusaka. bwalya said: nothing short of victory will do. however bwalya warned his side not to be too complacent. i don t want my team to be too comfortable or too sure of victory as it is going to be a difficult game. for me the main aim of the game is to enjoy and to win. zambia have shown their determination to win this final by recalling nine of their foreign-based players. however the 41 year-old bwalya who became the oldest player to appear in the competition when he played and scored against mauritius is uncertain whether he will take to the field or not. the chipolopolo fans however are not being so cautious with a victory concert already scheduled for after the match featuring some of the country s top musicians. both sides are hoping to win the competition for a record third time and so keep the trophy for good. the chipolopolo won the first two editions of the regional tournament for southern african nations in 1997 and 1998. they were prevented from a third straight win by angola who knocked out the zambians at the semi-final stage in 1999. that victory for angola also marked a first defeat in 14 years for zambia at lusaka s independence stadium where saturday s game is being played. angola named just four overseas-based players in their preliminary squad. the palancas negras have been unable to secure the release of many of their portugal-based players.,zambia confident and cautious zambia s technical director kalusha bwalya is confident and cautious ahead of the cosafa cup final against angola on saturday in lusaka. bwalya said: nothing short of victory will do. however bwalya warned his side not to be too complacent. i don t want my team to be too comfortable or too sure of victory as it is going to be a difficult game. for me the main aim of the game is to enjoy and to win. zambia have shown their determination to win this final by recalling nine of their foreign-based players. however the 41 year-old bwalya who became the oldest player to appear in the competition when he played and scored against mauritius is uncertain whether he will take to the field or not. the chipolopolo fans however are not being so cautious with a victory concert already scheduled for after the match featuring some of the country s top musicians. both sides are hoping to win the competition for a record third time and so keep the trophy for good. the chipolopolo won the first two editions of the regional tournament for southern african nations in 1997 and 1998. they were prevented from a third straight win by angola who knocked out the zambians at the semi-final stage in 1999. that victory for angola also marked a first defeat in 14 years for zambia at lusaka s independence stadium where saturday s game is being played. angola named just four overseas-based players in their preliminary squad. the palancas negras have been unable to secure the release of many of their portugal-based players.
bbc_news:002180,bbc_news,sport,1,Sports,campbell lifts lid on united feud arsenal s sol campbell has called the rivalry between manchester,united and the gunners bitter and personal . past encounters have stirred up plenty of ill-feeling between the sides and they meet again at highbury on tuesday. it is just more bitter and personal against united the defender told the guardian newspaper. there s an edge. after all that has happened if we beat them it will be one of our sweetest ever wins especially because of how we lost to them up there. last october arsenal lost 2-0 at old trafford which ended a record 49-match unbeaten league run and sparked a mini-crisis with the gunners winning only three of their next 10 games. it had a psychological impact on us but again because of the way we were defeated added the 30-year-old referring to a controversial penalty award for united s first goal. that was far more upsetting losing like that because they just seem to get away with it. you try and balance out over the course of a season but i ve had so many rough decisions against them you begin to wonder. with tensions spilling over afterwards - united boss sir alex ferguson was allegedly pelted with pizza in the players tunnel - there is little surprise that so much is riding on the return encounter on. everyone at arsenal has been waiting for this game said campbell. we are up for this one. speaking on his long-term plans campbell signalled his intent to move abroad before he turns 35. i m 30 now and in five years time i won t be in this country - that s definite. italy looks good to me because it would suit my kind of football. spain is an option but the idea of tasting a new culture and learning another language excites me the most. i m starting a little with french of course.,campbell lifts lid on united feud arsenal s sol campbell has called the rivalry between manchester united and the gunners bitter and personal . past encounters have stirred up plenty of ill-feeling between the sides and they meet again at highbury on tuesday. it is just more bitter and personal against united the defender told the guardian newspaper. there s an edge. after all that has happened if we beat them it will be one of our sweetest ever wins especially because of how we lost to them up there. last october arsenal lost 2-0 at old trafford which ended a record 49-match unbeaten league run and sparked a mini-crisis with the gunners winning only three of their next 10 games. it had a psychological impact on us but again because of the way we were defeated added the 30-year-old referring to a controversial penalty award for united s first goal. that was far more upsetting losing like that because they just seem to get away with it. you try and balance out over the course of a season but i ve had so many rough decisions against them you begin to wonder. with tensions spilling over afterwards - united boss sir alex ferguson was allegedly pelted with pizza in the players tunnel - there is little surprise that so much is riding on the return encounter on. everyone at arsenal has been waiting for this game said campbell. we are up for this one. speaking on his long-term plans campbell signalled his intent to move abroad before he turns 35. i m 30 now and in five years time i won t be in this country - that s definite. italy looks good to me because it would suit my kind of football. spain is an option but the idea of tasting a new culture and learning another language excites me the most. i m starting a little with french of course.
bbc_news:001008,bbc_news,sport,1,Sports,corry backs skipper robinson england forward martin corry says jason robinson is the right man to,lead the national team back to winning ways. after losses to wales and france critics have started to wonder whether robinson can captain from full-back. but corry has backed robinson who was given the role after the injury to fly-half jonny wilkinson ahead of this weekend s trip to ireland. jason is doing a tremendous job. every week my respect for him goes up corry told bbc radio five live. he is an inspirational captain. when he talks with the squad he talks with a lot of sense. the players have a lot of respect for him. it s an honour to be in the england side and an honour to play under him. england are under immense pressure following their poor start to the year and victory is vital if they are to rescue their six nations campaign. but corry insists england are in the right frame of mind for the contest. there is apprehension going into every game he added. but you have to use that fear and put it into a positive mindset. when the whistle goes on sunday what has happened in the past does not count for anything. we have not performed but if we put in a performance on sunday then we can start turning results around. there are a lot of changes taking place with england and we are at the start of something. we have not got off to the greatest of starts but you need to experience the bad the before you can fully appreciate the good. a trip to lansdowne road is daunting at any time especially against an ireland side that are flying high after two impressive wins. they are the form team of the tournament and are tipped to claim their first grand slam since 1948. but corry is relishing the prospect of taking on the irish in their own backyard. they are full of confidence and are playing a great team game he said. the forwards are creating a great platform and they have explosive runners out wide. if you look at the team on paper they have stars from one to 15. it s a huge task but it is a great opportunity for us. lansdowne road is a tremendous venue to play in and we have to use it to our advantage.,corry backs skipper robinson england forward martin corry says jason robinson is the right man to lead the national team back to winning ways. after losses to wales and france critics have started to wonder whether robinson can captain from full-back. but corry has backed robinson who was given the role after the injury to fly-half jonny wilkinson ahead of this weekend s trip to ireland. jason is doing a tremendous job. every week my respect for him goes up corry told bbc radio five live. he is an inspirational captain. when he talks with the squad he talks with a lot of sense. the players have a lot of respect for him. it s an honour to be in the england side and an honour to play under him. england are under immense pressure following their poor start to the year and victory is vital if they are to rescue their six nations campaign. but corry insists england are in the right frame of mind for the contest. there is apprehension going into every game he added. but you have to use that fear and put it into a positive mindset. when the whistle goes on sunday what has happened in the past does not count for anything. we have not performed but if we put in a performance on sunday then we can start turning results around. there are a lot of changes taking place with england and we are at the start of something. we have not got off to the greatest of starts but you need to experience the bad the before you can fully appreciate the good. a trip to lansdowne road is daunting at any time especially against an ireland side that are flying high after two impressive wins. they are the form team of the tournament and are tipped to claim their first grand slam since 1948. but corry is relishing the prospect of taking on the irish in their own backyard. they are full of confidence and are playing a great team game he said. the forwards are creating a great platform and they have explosive runners out wide. if you look at the team on paper they have stars from one to 15. it s a huge task but it is a great opportunity for us. lansdowne road is a tremendous venue to play in and we have to use it to our advantage.
