split,token_length,count
train,8,1
train,11,1
train,12,2
train,13,1
train,14,4
train,15,9
train,16,8
train,17,14
train,18,33
train,19,55
train,20,62
train,21,99
train,22,136
train,23,192
train,24,281
train,25,393
train,26,483
train,27,589
train,28,689
train,29,756
train,30,821
train,31,971
train,32,1107
train,33,1237
train,34,1465
train,35,1713
train,36,1962
train,37,2171
train,38,2389
train,39,2604
train,40,2843
train,41,3059
train,42,3257
train,43,3343
train,44,3384
train,45,3634
train,46,3647
train,47,3765
train,48,3898
train,49,3873
train,50,3782
train,51,3677
train,52,3679
train,53,3565
train,54,3433
train,55,3330
train,56,3107
train,57,2976
train,58,2605
train,59,2452
train,60,2199
train,61,2011
train,62,1828
train,63,1597
train,64,1409
train,65,1204
train,66,1072
train,67,909
train,68,793
train,69,696
train,70,651
train,71,539
train,72,484
train,73,410
train,74,383
train,75,303
train,76,280
train,77,258
train,78,224
train,79,203
train,80,167
train,81,141
train,82,174
train,83,160
train,84,147
train,85,143
train,86,141
train,87,125
train,88,114
train,89,95
train,90,93
train,91,97
train,92,80
train,93,72
train,94,78
train,95,58
train,96,83
train,97,85
train,98,59
train,99,57
train,100,54
train,101,44
train,102,37
train,103,41
train,104,30
train,105,41
train,106,27
train,107,42
train,108,31
train,109,26
train,110,23
train,111,15
train,112,17
train,113,18
train,114,18
train,115,19
train,116,15
train,117,22
train,118,17
train,119,6
train,120,16
train,121,9
train,122,19
train,123,8
train,124,3
train,125,3
train,126,6
train,127,7
train,128,6
train,129,12
train,130,7
train,131,7
train,132,6
train,133,7
train,134,5
train,135,7
train,136,7
train,137,4
train,138,10
train,139,7
train,140,7
train,141,6
train,142,1
train,143,9
train,144,3
train,145,2
train,146,2
train,147,7
train,148,3
train,149,7
train,151,2
train,152,2
train,153,3
train,154,4
train,155,5
train,156,4
train,157,3
train,158,6
train,159,6
train,160,5
train,161,3
train,162,5
train,163,7
train,164,6
train,165,7
train,166,3
train,167,3
train,168,7
train,169,5
train,170,5
train,171,6
train,172,7
train,173,3
train,174,6
train,175,5
train,176,2
train,177,6
train,178,1
train,179,1
train,180,2
train,181,2
train,182,2
train,183,2
train,184,1
train,185,4
train,186,1
train,187,4
train,188,3
train,189,6
train,190,4
train,191,4
train,192,5
train,193,1
train,194,1
train,195,1
train,196,3
train,197,3
train,198,3
train,199,2
train,200,2
train,201,1
train,203,3
train,204,1
train,205,1
train,206,1
train,207,2
train,208,2
train,210,3
train,212,1
train,213,1
train,214,2
train,215,5
train,216,2
train,217,2
train,218,2
train,219,1
train,220,2
train,221,1
train,222,2
train,223,1
train,224,2
train,225,1
train,226,1
train,227,5
train,228,1
train,229,1
train,230,1
train,231,1
train,232,3
train,233,2
train,234,3
train,235,2
train,236,3
train,237,1
train,238,3
train,239,2
train,240,2
train,241,1
train,242,1
train,243,2
train,244,1
train,245,1
train,247,1
train,248,1
train,252,2
train,253,1
train,254,1
train,256,2
train,257,3
train,258,2
train,259,1
train,260,4
train,261,4
train,263,3
train,264,3
train,265,5
train,266,3
train,267,2
train,268,2
train,269,4
train,270,2
train,271,3
train,272,2
train,273,2
train,274,1
train,275,3
train,276,4
train,277,4
train,279,2
train,280,2
train,281,3
train,282,4
train,285,1
train,286,2
train,287,2
train,288,2
train,289,1
train,290,3
train,291,1
train,292,3
train,293,1
train,294,3
train,295,1
train,296,1
train,297,2
train,298,2
train,300,1
train,301,1
train,302,1
train,303,8
train,304,5
train,305,4
train,306,1
train,307,2
train,308,1
train,309,3
train,310,1
train,311,4
train,312,1
train,313,2
train,314,2
train,315,1
train,316,3
train,317,1
train,318,4
train,319,2
train,320,1
train,321,2
train,322,4
train,323,3
train,325,3
train,326,1
train,327,4
train,328,1
train,329,2
train,330,3
train,331,2
train,332,1
train,333,3
train,334,4
train,335,3
train,336,3
train,337,4
train,338,4
train,339,3
train,340,2
train,341,7
train,342,1
train,343,5
train,344,2
train,345,1
train,346,1
train,347,3
train,348,3
train,349,2
train,350,3
train,351,4
train,352,1
train,353,1
train,354,2
train,356,8
train,357,2
train,359,4
train,360,1
train,361,2
train,362,6
train,363,7
train,364,4
train,365,2
train,366,2
train,367,2
train,368,1
train,369,4
train,370,1
train,371,1
train,372,1
train,373,3
train,374,2
train,375,4
train,376,1
train,378,4
train,379,3
train,380,3
train,381,2
train,382,3
train,383,3
train,384,3
train,385,2
train,386,5
train,387,3
train,388,1
train,389,6
train,390,1
train,391,3
train,392,1
train,393,2
train,394,2
train,395,2
train,396,1
train,397,2
train,398,1
train,399,4
train,400,4
train,401,1
train,402,1
train,403,1
train,404,1
train,405,1
train,406,2
train,407,2
train,408,3
train,409,1
train,410,1
train,411,1
train,413,3
train,414,2
train,416,3
train,417,1
train,418,3
train,419,1
train,420,2
train,421,3
train,423,4
train,424,4
train,425,2
train,426,1
train,427,1
train,428,2
train,429,1
train,430,3
train,431,3
train,432,1
train,433,2
train,434,2
train,435,3
train,437,2
train,438,1
train,439,2
train,440,2
train,441,2
train,442,1
train,443,2
train,444,1
train,445,1
train,446,1
train,447,1
train,448,1
train,449,1
train,450,1
train,451,1
train,452,2
train,453,2
train,454,2
train,455,2
train,456,1
train,457,2
train,458,4
train,459,2
train,460,3
train,461,2
train,462,1
train,463,2
train,464,2
train,465,1
train,466,1
train,467,1
train,469,3
train,470,3
train,472,2
train,473,2
train,475,1
train,478,1
train,479,2
train,480,1
train,481,2
train,482,1
train,483,1
train,486,2
train,487,2
train,488,1
train,489,1
train,490,3
train,492,1
train,493,2
train,494,1
train,495,2
train,496,1
train,497,3
train,498,1
train,499,1
train,500,5
train,501,2
train,503,3
